Canton;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
BL  ;        2020;          30;26.07.2020;65+     ;          33;          38;          22;          54;           .
BL  ;        2020;          31;02.08.2020;65+     ;          36;          38;          22;          54;           .
BL  ;        2020;          32;09.08.2020;65+     ;          45;          38;          22;          54;           .
BL  ;        2020;          33;16.08.2020;65+     ;          44;          38;          22;          54;           .
BL  ;        2020;          34;23.08.2020;65+     ;          41;          38;          22;          54;           .
BL  ;        2020;          35;30.08.2020;65+     ;          44;          39;          23;          55;           .
BL  ;        2020;          36;06.09.2020;65+     ;          40;          39;          23;          55;           .
BL  ;        2020;          37;13.09.2020;65+     ;          45;          39;          23;          55;           .
BL  ;        2020;          38;20.09.2020;65+     ;          47;          40;          24;          56;           .
BL  ;        2020;          39;27.09.2020;65+     ;          39;          40;          24;          57;           .
BL  ;        2020;          40;04.10.2020;65+     ;          44;          41;          24;          57;           .
BL  ;        2020;          41;11.10.2020;65+     ;          54;          41;          25;          58;           .
BL  ;        2020;          42;18.10.2020;65+     ;          48;          42;          25;          58;           .
BL  ;        2020;          43;25.10.2020;65+     ;          44;          42;          26;          59;           .
BL  ;        2020;          44;01.11.2020;65+     ;          51;          43;          26;          60;           .
BL  ;        2020;          45;08.11.2020;65+     ;          41;          43;          26;          60;           .
BL  ;        2020;          46;15.11.2020;65+     ;          61;          43;          26;          60;17.595622957
BL  ;        2020;          47;22.11.2020;65+     ;          56;          44;          27;          61;           .
BL  ;        2020;          48;29.11.2020;65+     ;          48;          44;          27;          61;           .
BL  ;        2020;          49;06.12.2020;65+     ;          71;          44;          27;          61;26.998991954
BL  ;        2020;          50;13.12.2020;65+     ;          62;          44;          27;          61;17.851569958
BL  ;        2020;          51;20.12.2020;65+     ;          86;          44;          27;          61;41.724580224
BL  ;        2020;          52;27.12.2020;65+     ;          58;          44;          27;          62;           .
BL  ;        2020;          53;03.01.2021;65+     ;          73;          45;          27;          62;28.470600757
BL  ;        2021;           1;10.01.2021;65+     ;          57;          45;          28;          62;           .
BL  ;        2021;           2;17.01.2021;65+     ;          48;          45;          28;          62;           .
BL  ;        2021;           3;24.01.2021;65+     ;          50;          45;          28;          62;           .
BL  ;        2021;           4;31.01.2021;65+     ;          46;          45;          28;          62;           .
BL  ;        2021;           5;07.02.2021;65+     ;          40;          45;          28;          62;           .
BL  ;        2021;           6;14.02.2021;65+     ;          45;          45;          28;          62;           .
BL  ;        2021;           7;21.02.2021;65+     ;          36;          45;          28;          62;           .
BL  ;        2021;           8;28.02.2021;65+     ;          41;          45;          28;          62;           .
BL  ;        2021;           9;07.03.2021;65+     ;          38;          45;          28;          62;           .
BL  ;        2021;          10;14.03.2021;65+     ;          48;          44;          27;          62;           .
BL  ;        2021;          11;21.03.2021;65+     ;          31;          44;          27;          61;           .
BL  ;        2021;          12;28.03.2021;65+     ;          43;          43;          26;          60;           .
BL  ;        2021;          13;04.04.2021;65+     ;          43;          43;          26;          60;           .
BL  ;        2021;          14;11.04.2021;65+     ;          34;          42;          26;          59;           .
BL  ;        2021;          15;18.04.2021;65+     ;          42;          42;          25;          58;           .
BL  ;        2021;          16;25.04.2021;65+     ;          40;          41;          24;          57;           .
BL  ;        2021;          17;02.05.2021;65+     ;          43;          40;          24;          56;           .
BL  ;        2021;          18;09.05.2021;65+     ;          37;          39;          23;          55;           .
BL  ;        2021;          19;16.05.2021;65+     ;          45;          39;          23;          55;           .
BL  ;        2021;          20;23.05.2021;65+     ;          51;          38;          22;          54;           .
BL  ;        2021;          21;30.05.2021;65+     ;          36;          38;          22;          54;           .
BL  ;        2021;          22;06.06.2021;65+     ;          48;          38;          22;          54;           .
BL  ;        2021;          23;13.06.2021;65+     ;          42;          38;          22;          53;           .
BL  ;        2021;          24;20.06.2021;65+     ;          46;          37;          22;          53;           .
