Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH01;        2021;          11;21.03.2021;0-64    ;          29;          32;          17;          46;           .
CH01;        2021;          12;28.03.2021;0-64    ;          30;          31;          17;          46;           .
CH01;        2021;          13;04.04.2021;0-64    ;          30;          31;          17;          45;           .
CH01;        2021;          14;11.04.2021;0-64    ;          32;          30;          16;          45;           .
CH01;        2021;          15;18.04.2021;0-64    ;          39;          30;          16;          44;           .
CH01;        2021;          16;25.04.2021;0-64    ;          27;          30;          16;          44;           .
CH01;        2021;          17;02.05.2021;0-64    ;          30;          29;          15;          43;           .
CH01;        2021;          18;09.05.2021;0-64    ;          37;          29;          15;          43;           .
CH01;        2021;          19;16.05.2021;0-64    ;          36;          29;          15;          43;           .
CH01;        2021;          20;23.05.2021;0-64    ;          33;          29;          15;          43;           .
CH01;        2021;          21;30.05.2021;0-64    ;          38;          29;          15;          42;           .
CH01;        2021;          22;06.06.2021;0-64    ;          19;          29;          15;          43;           .
CH01;        2021;          23;13.06.2021;0-64    ;          29;          29;          15;          43;           .
CH01;        2021;          24;20.06.2021;0-64    ;          29;          29;          15;          43;           .
CH01;        2021;          25;27.06.2021;0-64    ;          31;          29;          15;          43;           .
CH01;        2021;          26;04.07.2021;0-64    ;          19;          29;          15;          43;           .
CH01;        2021;          27;11.07.2021;0-64    ;          26;          29;          15;          43;           .
CH01;        2021;          28;18.07.2021;0-64    ;          19;          29;          15;          43;           .
CH01;        2021;          29;25.07.2021;0-64    ;          24;          29;          15;          43;           .
CH01;        2021;          30;01.08.2021;0-64    ;          24;          29;          15;          42;           .
CH01;        2021;          31;08.08.2021;0-64    ;          32;          28;          15;          42;           .
CH01;        2021;          32;15.08.2021;0-64    ;          35;          28;          14;          42;           .
CH01;        2021;          33;22.08.2021;0-64    ;          37;          28;          14;          42;           .
CH01;        2021;          34;29.08.2021;0-64    ;          31;          28;          14;          41;           .
CH01;        2021;          35;05.09.2021;0-64    ;          32;          28;          14;          42;           .
CH01;        2021;          36;12.09.2021;0-64    ;          30;          28;          14;          42;           .
CH01;        2021;          37;19.09.2021;0-64    ;          34;          28;          14;          42;           .
CH01;        2021;          38;26.09.2021;0-64    ;          35;          28;          15;          42;           .
CH01;        2021;          39;03.10.2021;0-64    ;          28;          29;          15;          42;           .
CH01;        2021;          40;10.10.2021;0-64    ;          26;          29;          15;          43;           .
CH01;        2021;          41;17.10.2021;0-64    ;          39;          29;          15;          43;           .
CH01;        2021;          42;24.10.2021;0-64    ;          33;          29;          15;          43;           .
CH01;        2021;          43;31.10.2021;0-64    ;          25;          29;          15;          43;           .
CH01;        2021;          44;07.11.2021;0-64    ;          25;          29;          15;          43;           .
CH01;        2021;          45;14.11.2021;0-64    ;          21;          29;          15;          43;           .
CH01;        2021;          46;21.11.2021;0-64    ;          29;          29;          15;          43;           .
CH01;        2021;          47;28.11.2021;0-64    ;          24;          29;          15;          43;           .
CH01;        2021;          48;05.12.2021;0-64    ;          44;          30;          16;          44;          14
CH01;        2021;          49;12.12.2021;0-64    ;          28;          30;          16;          44;           .
CH01;        2021;          50;19.12.2021;0-64    ;          28;          31;          16;          45;           .
CH01;        2021;          51;26.12.2021;0-64    ;          30;          31;          17;          45;           .
CH01;        2021;          52;02.01.2022;0-64    ;        31.5;          32;          17;          46;           .
CH01;        2022;           1;09.01.2022;0-64    ;        30.9;          31;          18;          46;           .
CH01;        2022;           2;16.01.2022;0-64    ;        31.6;          31;          18;          46;           .
