"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2022-W08";"CH052";"Y85T89";"F";"P";1
"2022-W08";"CH052";"Y85T89";"M";"P";2
"2022-W08";"CH052";"Y_GE90";"T";"P";12
"2022-W08";"CH052";"Y_GE90";"F";"P";7
"2022-W08";"CH052";"Y_GE90";"M";"P";5
"2022-W08";"CH053";"_T";"T";"P";9
"2022-W08";"CH053";"_T";"F";"P";2
"2022-W08";"CH053";"_T";"M";"P";7
"2022-W08";"CH053";"Y50T54";"T";"P";1
"2022-W08";"CH053";"Y50T54";"M";"P";1
"2022-W08";"CH053";"Y80T84";"T";"P";2
"2022-W08";"CH053";"Y80T84";"F";"P";1
"2022-W08";"CH053";"Y80T84";"M";"P";1
"2022-W08";"CH053";"Y85T89";"T";"P";3
"2022-W08";"CH053";"Y85T89";"M";"P";3
"2022-W08";"CH053";"Y_GE90";"T";"P";3
"2022-W08";"CH053";"Y_GE90";"F";"P";1
"2022-W08";"CH053";"Y_GE90";"M";"P";2
"2022-W08";"CH054";"_T";"T";"P";5
"2022-W08";"CH054";"_T";"F";"P";2
"2022-W08";"CH054";"_T";"M";"P";3
"2022-W08";"CH054";"Y60T64";"T";"P";1
"2022-W08";"CH054";"Y60T64";"M";"P";1
"2022-W08";"CH054";"Y80T84";"T";"P";1
"2022-W08";"CH054";"Y80T84";"M";"P";1
"2022-W08";"CH054";"Y_GE90";"T";"P";3
"2022-W08";"CH054";"Y_GE90";"F";"P";2
"2022-W08";"CH054";"Y_GE90";"M";"P";1
"2022-W08";"CH055";"_T";"T";"P";95
"2022-W08";"CH055";"_T";"F";"P";46
"2022-W08";"CH055";"_T";"M";"P";49
"2022-W08";"CH055";"Y15T19";"T";"P";1
"2022-W08";"CH055";"Y15T19";"M";"P";1
"2022-W08";"CH055";"Y30T34";"T";"P";1
"2022-W08";"CH055";"Y30T34";"F";"P";1
"2022-W08";"CH055";"Y40T44";"T";"P";2
"2022-W08";"CH055";"Y40T44";"M";"P";2
"2022-W08";"CH055";"Y45T49";"T";"P";1
"2022-W08";"CH055";"Y45T49";"M";"P";1
"2022-W08";"CH055";"Y50T54";"T";"P";1
"2022-W08";"CH055";"Y50T54";"M";"P";1
"2022-W08";"CH055";"Y55T59";"T";"P";1
"2022-W08";"CH055";"Y55T59";"F";"P";1
"2022-W08";"CH055";"Y60T64";"T";"P";4
"2022-W08";"CH055";"Y60T64";"F";"P";2
"2022-W08";"CH055";"Y60T64";"M";"P";2
"2022-W08";"CH055";"Y65T69";"T";"P";4
"2022-W08";"CH055";"Y65T69";"F";"P";1
"2022-W08";"CH055";"Y65T69";"M";"P";3
"2022-W08";"CH055";"Y70T74";"T";"P";7
"2022-W08";"CH055";"Y70T74";"F";"P";1
"2022-W08";"CH055";"Y70T74";"M";"P";6
"2022-W08";"CH055";"Y75T79";"T";"P";10
"2022-W08";"CH055";"Y75T79";"F";"P";2
"2022-W08";"CH055";"Y75T79";"M";"P";8
"2022-W08";"CH055";"Y80T84";"T";"P";15
"2022-W08";"CH055";"Y80T84";"F";"P";8
"2022-W08";"CH055";"Y80T84";"M";"P";7
"2022-W08";"CH055";"Y85T89";"T";"P";15
"2022-W08";"CH055";"Y85T89";"F";"P";7
"2022-W08";"CH055";"Y85T89";"M";"P";8
"2022-W08";"CH055";"Y_GE90";"T";"P";33
"2022-W08";"CH055";"Y_GE90";"F";"P";23
"2022-W08";"CH055";"Y_GE90";"M";"P";10
"2022-W08";"CH056";"_T";"T";"P";39
"2022-W08";"CH056";"_T";"F";"P";21
"2022-W08";"CH056";"_T";"M";"P";18
"2022-W08";"CH056";"Y50T54";"T";"P";3
"2022-W08";"CH056";"Y50T54";"F";"P";2
"2022-W08";"CH056";"Y50T54";"M";"P";1
"2022-W08";"CH056";"Y55T59";"T";"P";2
"2022-W08";"CH056";"Y55T59";"M";"P";2
"2022-W08";"CH056";"Y60T64";"T";"P";1
"2022-W08";"CH056";"Y60T64";"F";"P";1
"2022-W08";"CH056";"Y65T69";"T";"P";1
"2022-W08";"CH056";"Y65T69";"F";"P";1
"2022-W08";"CH056";"Y70T74";"T";"P";4
"2022-W08";"CH056";"Y70T74";"F";"P";2
"2022-W08";"CH056";"Y70T74";"M";"P";2
"2022-W08";"CH056";"Y75T79";"T";"P";6
"2022-W08";"CH056";"Y75T79";"F";"P";4
"2022-W08";"CH056";"Y75T79";"M";"P";2
"2022-W08";"CH056";"Y80T84";"T";"P";5
"2022-W08";"CH056";"Y80T84";"F";"P";2
"2022-W08";"CH056";"Y80T84";"M";"P";3
"2022-W08";"CH056";"Y85T89";"T";"P";9
"2022-W08";"CH056";"Y85T89";"F";"P";4
"2022-W08";"CH056";"Y85T89";"M";"P";5
"2022-W08";"CH056";"Y_GE90";"T";"P";8
"2022-W08";"CH056";"Y_GE90";"F";"P";5
"2022-W08";"CH056";"Y_GE90";"M";"P";3
"2022-W08";"CH057";"_T";"T";"P";54
"2022-W08";"CH057";"_T";"F";"P";26
"2022-W08";"CH057";"_T";"M";"P";28
"2022-W08";"CH057";"Y55T59";"T";"P";2
"2022-W08";"CH057";"Y55T59";"F";"P";1
"2022-W08";"CH057";"Y55T59";"M";"P";1
"2022-W08";"CH057";"Y60T64";"T";"P";1
"2022-W08";"CH057";"Y60T64";"M";"P";1
"2022-W08";"CH057";"Y65T69";"T";"P";3
"2022-W08";"CH057";"Y65T69";"F";"P";1
"2022-W08";"CH057";"Y65T69";"M";"P";2
"2022-W08";"CH057";"Y70T74";"T";"P";7
"2022-W08";"CH057";"Y70T74";"F";"P";5
"2022-W08";"CH057";"Y70T74";"M";"P";2
"2022-W08";"CH057";"Y75T79";"T";"P";7
"2022-W08";"CH057";"Y75T79";"F";"P";2
"2022-W08";"CH057";"Y75T79";"M";"P";5
"2022-W08";"CH057";"Y80T84";"T";"P";12
"2022-W08";"CH057";"Y80T84";"F";"P";4
"2022-W08";"CH057";"Y80T84";"M";"P";8
"2022-W08";"CH057";"Y85T89";"T";"P";10
"2022-W08";"CH057";"Y85T89";"F";"P";4
"2022-W08";"CH057";"Y85T89";"M";"P";6
"2022-W08";"CH057";"Y_GE90";"T";"P";12
"2022-W08";"CH057";"Y_GE90";"F";"P";9
"2022-W08";"CH057";"Y_GE90";"M";"P";3
"2022-W08";"CH061";"_T";"T";"P";62
"2022-W08";"CH061";"_T";"F";"P";34
"2022-W08";"CH061";"_T";"M";"P";28
"2022-W08";"CH061";"Y15T19";"T";"P";1
"2022-W08";"CH061";"Y15T19";"M";"P";1
"2022-W08";"CH061";"Y50T54";"T";"P";1
"2022-W08";"CH061";"Y50T54";"F";"P";1
"2022-W08";"CH061";"Y55T59";"T";"P";2
"2022-W08";"CH061";"Y55T59";"F";"P";2
"2022-W08";"CH061";"Y60T64";"T";"P";2
"2022-W08";"CH061";"Y60T64";"F";"P";1
"2022-W08";"CH061";"Y60T64";"M";"P";1
"2022-W08";"CH061";"Y65T69";"T";"P";1
"2022-W08";"CH061";"Y65T69";"F";"P";1
"2022-W08";"CH061";"Y70T74";"T";"P";4
"2022-W08";"CH061";"Y70T74";"M";"P";4
